"№","Web-Site","Name","Info","Time"
"351","Open_edu","Art and visual culture: Medieval to modern","Intermediate","10"
"352","Open_edu","Art in Renaissance Venice","Advanced","6"
"353","Open_edu","Assessing contemporary science","Intermediate","9"
"354","Open_edu","Assessing risk in engineering, work and life","Introductory","10"
"355","Open_edu","Assessment in secondary geography","Advanced","11"
"356","Open_edu","Assessment in secondary mathematics","Advanced","11"
"357","Open_edu","Assessment in secondary modern foreign languages","Advanced","11"
"358","Open_edu","Assessment in secondary music","Advanced","11"
"359","Open_edu","Assessment in secondary science","Advanced","11"
"360","Open_edu","Assistive technologies and online learning","Advanced","8"
"361","Open_edu","Astudio meddygaeth yn ddwyieithog","Beginner","1"
"362","Open_edu","Astudio’r gwyddorau naturiol yn ddwyieithog","Beginner","1"
"363","Open_edu","Attachment in the early years","Intermediate","6"
"364","Open_edu","Attention","Advanced","10"
"365","Open_edu","Babylonian mathematics","Intermediate","8"
"366","Open_edu","Basic science: understanding experiments","Introductory","12"
"367","Open_edu","Basic science: understanding numbers","Introductory","12"
"368","Open_edu","Becoming an ethical researcher ","Advanced","18"
"369","Open_edu","Beginners’ Chinese: a taster course","Introductory","4"
"370","Open_edu","Beginners’ French: A trip to Avignon","Introductory","15"
"371","Open_edu","Beginners’ French: Food and drink","Introductory","5"
"372","Open_edu","Beginners’ German: Food and drink","Introductory","6"
"373","Open_edu","Beginners’ German: Places and people","Introductory","5"
"374","Open_edu","Beginners’ Spanish: Getting around","Introductory","20"
"375","Open_edu","Beginners’ Tamil: a taster course","Introductory","4"
"376","Open_edu","Being an OU student","Introductory","12"
"377","Open_edu","Birth of a drug","Advanced","4"
"378","Open_edu","Blood and the respiratory system","Intermediate","10"
"379","Open_edu","Building confidence in using online forums ","Introductory","8"
"380","Open_edu","Building relationships with donors","Advanced","6"
"381","Open_edu","Business communication: writing a SWOT analysis","Introductory","8"
"382","Open_edu","Business English: Making decisions","Intermediate","5"
"383","Open_edu","Business English: Presenting the decision","Intermediate","5"
"384","Open_edu","Can renewable energy sources power the world?","Introductory","24"
"385","Open_edu","Careers education and guidance","Intermediate","8"
"386","Open_edu","Careers education and guidance (Chinese)","Intermediate","8"
"387","Open_edu","Cefnogi datblygiad plant","Beginner","15"
"388","Open_edu","Census stories: Bringing statistics to life in Milton Keynes","Introductory","2"
"389","Open_edu","Challenging ideas in mental health","Intermediate","8"
"390","Open_edu","Changes in Science Education","Intermediate","20"
"391","Open_edu","Childhood in crisis?","Intermediate","6"
"392","Open_edu","Childhood in the digital age","Introductory","12"
"393","Open_edu","Children and young people: food and food marketing","Advanced","8"
"394","Open_edu","Children and young people’s participation","Advanced","12"
"395","Open_edu","Children’s experiences with digital technologies","Intermediate","8"
"396","Open_edu","Children’s perspectives on play","Introductory","5"
"397","Open_edu","Climate change","Intermediate","18"
"398","Open_edu","Climate justice for the next generation","Intermediate","7"
"399","Open_edu","Collaborative problem solving for community safety","Introductory","16"
"400","Open_edu","Collisions and conservation laws","Intermediate","5"
"401","Open_edu","Commercial awareness","Introductory","2"
"402","Open_edu","Companies and financial accounting","Introductory","6"
"403","Open_edu","Comparing stars","Intermediate","16"
"404","Open_edu","Completing the project","Advanced","8"
"405","Open_edu","Continuity and learning","Introductory","12"
"406","Open_edu","Conversations and interviews","Intermediate","5"
"407","Open_edu","Creating open educational resources","Introductory","15"
"408","Open_edu","Creative writing and critical reading","Advanced","8"
"409","Open_edu","Creativity, community and ICT","Introductory","20"
"410","Open_edu","Critical criminology and the social sciences","Intermediate","6"
"411","Open_edu","Cyflwyniad i arweinyddiaeth i lywodraethwyr (Cymru)","Introductory","5"
"412","Open_edu","Cynllunio dyfodol gwell","Beginner","15"
"413","Open_edu","Cynorthwywyr addysgu: Cymorth ar waith","Beginner","4"
"414","Open_edu","Dance skills","Intermediate","12"
"415","Open_edu","Democracy? You think you know?","Intermediate","8"
"416","Open_edu","Describing motion along a line","Intermediate","15"
"417","Open_edu","Developing good academic practice","Intermediate","5"
"418","Open_edu","Developing high trust work relationships","Intermediate","2"
"419","Open_edu","Diagramming for development 2 - Exploring interrelationships","Advanced","4"
"420","Open_edu","Diagrams, charts and graphs","Introductory","5"
"421","Open_edu","Difference and challenge in teams","Introductory","2"
"422","Open_edu","Different types of business","Introductory","3"
"423","Open_edu","Digital skills: succeeding in a digital world","Introductory","24"
"424","Open_edu","Discovering Ancient Greek and Latin","Intermediate","12"
"425","Open_edu","Discovering disorder: young people and delinquency","Introductory","8"
"426","Open_edu","Discovering management","Advanced","15"
"427","Open_edu","Discovering music: the blues","Introductory","6"
"428","Open_edu","Diversity and difference in communication","Introductory","16"
"429","Open_edu","Drug development process: combating pain","Advanced","2"
"430","Open_edu","Dysgu ac arfer: Gweithrediad a hunaniaethau","Advanced","8"
"431","Open_edu","Early years team work and leadership","Introductory","8"
"432","Open_edu","Earthquakes","Introductory","8"
"433","Open_edu","Eating to win: activity, diet and weight control","Introductory","6"
"434","Open_edu","Economics explains discrimination in the labour market","Advanced","8"
"435","Open_edu","Emotion: An introductory picture","Advanced","20"
"436","Open_edu","Employee engagement","Advanced","10"
"437","Open_edu","Encouraging book talk in the school library","Introductory","4"
"438","Open_edu","Engaging with postgraduate research: education, childhood & youth","Advanced","10"
"439","Open_edu","Engineering: The challenge of temperature","Intermediate","40"
"440","Open_edu","Engineering: The nature of problems","Intermediate","40"
"441","Open_edu","English grammar in context","Advanced","15"
"442","Open_edu","English in the world today","Introductory","8"
"443","Open_edu","English: skills for learning","Introductory","24"
"444","Open_edu","Enhancing pupil learning on museum visits","Intermediate","4"
"445","Open_edu","Entrepreneurship – from ideas to reality","Intermediate","24"
"446","Open_edu","Environmental factors and organisations","Advanced","6"
"447","Open_edu","Essay and report writing skills","Introductory","15"
"448","Open_edu","Ethics in science?","Introductory","3"
"449","Open_edu","Evaluating school classroom discussion ","Advanced","9"
"450","Open_edu","Ewch â’ch addysgu ar-lein","Intermediate","24"
"451","Open_edu","Exploring anxiety","Advanced","9"
"452","Open_edu","Exploring books for children: words and pictures","Intermediate","8"
"453","Open_edu","Exploring data: Graphs and numerical summaries","Introductory","20"
"454","Open_edu","Exploring depression","Advanced","7"
"455","Open_edu","Exploring educational leadership","Advanced","4"
"456","Open_edu","Exploring equality and equity in education","Advanced","10"
"457","Open_edu","Exploring innovative assessment methods","Advanced","12"
"458","Open_edu","Exploring languages and cultures","Introductory","14"
"459","Open_edu","Exploring sport coaching and psychology","Introductory","24"
"460","Open_edu","Exploring the English language","Intermediate","9"
"461","Open_edu","Exploring the relationship between anxiety and depression","Advanced","3"
"462","Open_edu","Extending and developing your thinking skills ","Introductory","6"
"463","Open_edu","Facilitating group discussions","Introductory","2"
"464","Open_edu","Financial accounting and reporting","Intermediate","12"
"465","Open_edu","Fire ecology","Intermediate","4"
"466","Open_edu","Form and uses of language","Introductory","4"
"467","Open_edu","Fundamentals of accounting","Introductory","8"
"468","Open_edu","Galaxies, stars and planets","Introductory","8"
"469","Open_edu","Gene manipulation in plants","Intermediate","10"
"470","Open_edu","Gene testing","Introductory","4"
"471","Open_edu","Geography in education: exploring a definition","Intermediate","9"
"472","Open_edu","Geological processes in the British Isles","Intermediate","9"
"473","Open_edu","Geometry","Introductory","5"
"474","Open_edu","Get started with online learning","Introductory","6"
"475","Open_edu","Getting started on classical Latin","Introductory","10"
"476","Open_edu","Global perspectives on primary education","Intermediate","9"
"477","Open_edu","Grammar matters","Advanced","8"
"478","Open_edu","Groups and teamwork","Intermediate","20"
"479","Open_edu","Gwaith Tîm: Hyfforddiant i Lywodraethwyr (Cymru)","Introductory","5"
"480","Open_edu","Histology, microscopy, anatomy and disease","Introductory","12"
"481","Open_edu","History as commemoration","Introductory","4"
"482","Open_edu","History of reading tutorial 1: Finding evidence of reading in the past","Intermediate","2"
"483","Open_edu","History of reading tutorial 2: The reading and reception of literary texts – a case study of Robinson Crusoe","Intermediate","1"
"484","Open_edu","History of reading tutorial 3: Famous writers and their reading - Elizabeth Barrett Browning and Vernon Lee","Intermediate","1"
"485","Open_edu","History of reading: An introduction to reading in the past","Intermediate","1"
"486","Open_edu","How arguments are constructed and used in the Social Sciences","Intermediate","1"
"487","Open_edu","How teams work","Advanced","10"
"488","Open_edu","How to be a critical reader","Intermediate","7"
"489","Open_edu","How to learn a language","Introductory","24"
"490","Open_edu","Icarus: entering the world of myth","Intermediate","3"
"491","Open_edu","Icy bodies: Europa and elsewhere","Intermediate","17"
"492","Open_edu","Imagination: The missing mystery of philosophy","Advanced","20"
"493","Open_edu","Implementing the project","Advanced","8"
"494","Open_edu","Improving aerobic fitness","Introductory","2"
"495","Open_edu","In the night sky: Orion","Introductory","24"
"496","Open_edu","Inclusive education: knowing what we mean (Wales)","Introductory","5"
"497","Open_edu","Infection and immunity","Introductory","12"
"498","Open_edu","Influenza: A case study","Advanced","6"
"499","Open_edu","Inheritance of characters","Introductory","4"
"500","Open_edu","Innovation in health and social care practice","Introductory","4"
"501","Open_edu","Intermediate French: 14 July","Intermediate","10"
"502","Open_edu","Intermediate French: Holiday plans","Intermediate","20"
"503","Open_edu","Intermediate French: Understanding spoken French","Introductory","6"
"504","Open_edu","Intermediate German: The world of work","Intermediate","8"
"505","Open_edu","Intermediate German: Understanding spoken German","Introductory","6"
"506","Open_edu","Intermediate Italian: describing people","Intermediate","8"
"507","Open_edu","Intermediate Spanish: A trip across Latin America","Intermediate","8"
"508","Open_edu","Intermediate Spanish: Understanding spoken Spanish","Introductory","6"
"509","Open_edu","Internships and other work experiences","Introductory","24"
"510","Open_edu","Interpreting data: Boxplots and tables","Intermediate","16"
"511","Open_edu","Introducing a framework for strategy","Advanced","10"
"512","Open_edu","Introducing consciousness","Advanced","20"
"513","Open_edu","Introducing ethics in Information and Computer Sciences","Advanced","40"
"514","Open_edu","Introducing Homer's Iliad","Intermediate","6"
"515","Open_edu","Introducing ICT systems","Introductory","9"
"516","Open_edu","Introducing mammals","Introductory","5"
"517","Open_edu","Introducing philosophy","Introductory","8"
"518","Open_edu","Introducing the Classical world","Intermediate","20"
"519","Open_edu","Introducing the environment: Ecology and ecosystems","Introductory","5"
"520","Open_edu","Introducing the philosophy of religion","Intermediate","12"
"521","Open_edu","Introducing the voluntary sector","Introductory","24"
"522","Open_edu","Introducing Virgil’s Aeneid","Intermediate","7"
"523","Open_edu","Introduction to active galaxies","Intermediate","20"
"524","Open_edu","Introduction to algebra","Introductory","16"
"525","Open_edu","Introduction to bookkeeping and accounting","Introductory","8"
"526","Open_edu","Introduction to child psychology","Introductory","8"
"527","Open_edu","Introduction to cyber security: stay safe online","Introductory","24"
"528","Open_edu","Introduction to differential equations","Introductory","18"
"529","Open_edu","Introduction to ecosystems","Introductory","12"
"530","Open_edu","Introduction to number theory","Introductory","18"
"531","Open_edu","Introduction to operations management","Intermediate","6"
"532","Open_edu","Involving the family in supporting pupils' literacy learning","Advanced","10"
"533","Open_edu","Issues in research with children and young people","Advanced","7"
"534","Open_edu","Key skill assessment unit: Information literacy","Introductory","50"
"535","Open_edu","Key skill assessment unit: Problem solving","Introductory","50"
"536","Open_edu","Key skill assessment unit: Working with others","Introductory","50"
"537","Open_edu","Key skill assessment: Communication","Introductory","50"
"538","Open_edu","Key skill assessment: Improving your own learning and performance","Introductory","50"
"539","Open_edu","Key skills - making a difference","Intermediate","40"
"540","Open_edu","Key skills assessment unit: Application of number","Introductory","50"
"541","Open_edu","Language and creativity","Intermediate","8"
"542","Open_edu","Language and thought: Introducing representation","Advanced","20"
"543","Open_edu","Language in the real world","Advanced","6"
"544","Open_edu","Language, notation and formulas","Introductory","5"
"545","Open_edu","Languages at Work","Introductory","6"
"546","Open_edu","Leadership and context","Advanced","9"
"547","Open_edu","Leadership and followership","Introductory","24"
"548","Open_edu","Leadership: external context and culture","Advanced","6"
"549","Open_edu","Learning and practice: Agency and identities","Advanced","8"
"550","Open_edu","Learning how to learn","Introductory","6"
"551","Open_edu","Learning to learn: Exploring learning","Introductory","8"
"552","Open_edu","Learning to learn: Planning for personal change","Introductory","8"
"553","Open_edu","Learning to learn: Reflecting backward, reflecting forward","Introductory","8"
"554","Open_edu","Learning to learn: You and your learning","Introductory","8"
"555","Open_edu","Learning to teach: an introduction to classroom research","Advanced","5"
"556","Open_edu","Learning to teach: becoming a reflective practitioner","Advanced","5"
"557","Open_edu","Learning to teach: becoming a reflective practitioner (Chinese)","Advanced","20"
"558","Open_edu","Learning to teach: making sense of learning to teach","Advanced","5"
"559","Open_edu","Learning to teach: mentoring and tutoring student teachers","Advanced","5"
"560","Open_edu","Life in the Palaeozoic","Introductory","12"
"561","Open_edu","Listening to young children: supporting transition","Intermediate","5"
"562","Open_edu","Literacy, social justice and inclusive practice","Advanced","10"
"563","Open_edu","Living and working in the new economy","Intermediate","15"
"564","Open_edu","Living in a globalised world","Intermediate","12"
"565","Open_edu","Living psychology: animal minds","Intermediate","12"
"566","Open_edu","Living with diabetes","Introductory","5"
"567","Open_edu","Looking globally: the future of education","Advanced","24"
"568","Open_edu","Making sense of art history","Introductory","5"
"569","Open_edu","Making sense of mental health problems","Intermediate","10"
"570","Open_edu","Making sense of ourselves","Intermediate","4"
"571","Open_edu","Management: perspective and practice","Advanced","10"
"572","Open_edu","Managing and managing people","Advanced","8"
"573","Open_edu","Managing my financial journey","Introductory","12"
"574","Open_edu","Managing my investments","Introductory","24"
"575","Open_edu","Managing my money","Introductory","24"
"576","Open_edu","Managing relationships","Advanced","4"
"577","Open_edu","Managing virtual project teams","Advanced","8"
"578","Open_edu","Mathematics for science and technology ","Introductory","24"
"579","Open_edu","Medical statistics","Intermediate","16"
"580","Open_edu","Meiosis and mitosis","Introductory","8"
"581","Open_edu","Metals in medicine","Intermediate","12"
"582","Open_edu","Methodism in Wales, 1730–1850","Intermediate","4"
"583","Open_edu","Minds and mental phenomena: An introduction","Advanced","20"
"584","Open_edu","Minerals and the crystalline state","Intermediate","10"
"585","Open_edu","More working with charts, graphs and tables","Introductory","15"
"586","Open_edu","Motion under gravity","Introductory","4"
"587","Open_edu","Motivation and factors affecting motivation","Introductory","5"
"588","Open_edu","Mountain building in Scotland","Advanced","30"
"589","Open_edu","MSE’s Academy of Money","Introductory","12"
"590","Open_edu","Multidisciplinary study: the value and benefits","Introductory","5"
"591","Open_edu","Music and its media","Intermediate","16"
"592","Open_edu","Nationalism, self-determination and secession","Intermediate","8"
"593","Open_edu","Networked practitioner: open or closed practice?","Advanced","4"
"594","Open_edu","Numbers, units and arithmetic","Introductory","5"
"595","Open_edu","Nutrition: Proteins","Introductory","8"
"596","Open_edu","Nutrition: vitamins and minerals","Introductory","10"
"597","Open_edu","Open education","Advanced","40"
"598","Open_edu","Organisations and management accounting","Intermediate","12"
"599","Open_edu","Organisations and the financial system","Intermediate","8"
"600","Open_edu","Pain and Aspirin","Intermediate","4"
"601","Open_edu","Paraphrasing text","Intermediate","1"
"602","Open_edu","Particle physics","Introductory","5"
"603","Open_edu","Partnerships and networks in work with young people","Intermediate","10"
"604","Open_edu","Personal branding for career success","Introductory","24"
"605","Open_edu","Personal development planning for engineering","Introductory","12"
"606","Open_edu","Planning a better future","Beginner","15"
"607","Open_edu","Planning a project","Advanced","8"
"608","Open_edu","Plate Tectonics","Intermediate","15"
"609","Open_edu","Play, learning and the brain","Intermediate","15"
"610","Open_edu","Political ordering","Introductory","10"
"611","Open_edu","Postgraduate study skills in science, technology or mathematics","Advanced","14"
"612","Open_edu","Practising science: Reading the rocks and ecology","Introductory","14"
"613","Open_edu","Preparing a project","Advanced","8"
"614","Open_edu","Presenting information","Introductory","3"
"615","Open_edu","Primary education: listening and observing","Introductory","24"
"616","Open_edu","Primary science: supporting children’s learning","Intermediate","8"
"617","Open_edu","Processes of study in the arts and humanities","Introductory","16"
"618","Open_edu","Professional relationships with young people","Introductory","8"
"619","Open_edu","Psychological research, obedience and ethics","Introductory","5"
"620","Open_edu","Ratio, proportion and percentages","Introductory","5"
"621","Open_edu","Reading Shakespeare's As You Like It","Intermediate","6"
"622","Open_edu","Reading visual images","Introductory","8"
"623","Open_edu","Recording music and sound","Intermediate","8"
"624","Open_edu","Religious diversity: rethinking religion","Intermediate","12"
"625","Open_edu","Retail marketing","Introductory","8"
"626","Open_edu","Returning to STEM","Advanced","24"
"627","Open_edu","Revision and examinations","Introductory","6"
"628","Open_edu","Rising China and Africa's development: oil","Intermediate","15"
"629","Open_edu","Risk management","Introductory","24"
"630","Open_edu","Rounding and estimation","Introductory","5"
"631","Open_edu","Sam Selvon, The Lonely Londoners","Intermediate","10"
"632","Open_edu","Scales in space and time","Introductory","12"
"633","Open_edu","School business manager: Developing the role","Introductory","8"
"634","Open_edu","School geography: Exploring a definition","Intermediate","9"
"635","Open_edu","Science and society: A career and professional development course","Introductory","30"
"636","Open_edu","Secondary learning","Advanced","11"
"637","Open_edu","Simone de Beauvoir and the feminist revolution","Introductory","4"
"638","Open_edu","Social care in the community","Introductory","3"
"639","Open_edu","Social construction and social constructionism","Intermediate","1"
"640","Open_edu","Sound for music technology: An introduction","Introductory","20"
"641","Open_edu","Speeches and speech-making","Introductory","1"
"642","Open_edu","Squares, roots and powers","Introductory","5"
"643","Open_edu","Stakeholders in marketing and finance","Intermediate","2"
"644","Open_edu","Start writing fiction","Introductory","12"
"645","Open_edu","Start writing fiction: characters and stories ","Introductory","24"
"646","Open_edu","Starting with maths: Patterns and formulas","Introductory","5"
"647","Open_edu","Step up to leadership","Introductory","4"
"648","Open_edu","Studying mammals: A winning design","Introductory","10"
"649","Open_edu","Studying mammals: Chisellers","Introductory","10"
"650","Open_edu","Studying mammals: Food for thought","Introductory","10"
"651","Open_edu","Studying mammals: Life in the trees","Introductory","10"
"652","Open_edu","Studying mammals: Meat eaters","Introductory","10"
"653","Open_edu","Studying mammals: Plant predators","Introductory","10"
"654","Open_edu","Studying mammals: Return to the water","Introductory","10"
"655","Open_edu","Studying mammals: The insect hunters","Introductory","10"
"656","Open_edu","Studying mammals: The opportunists","Introductory","10"
"657","Open_edu","Studying mammals: The social climbers","Introductory","10"
"658","Open_edu","Studying medicine bilingually","Beginner","1"
"659","Open_edu","Studying natural sciences bilingually","Beginner","1"
"660","Open_edu","Studying religion","Introductory","20"
"661","Open_edu","Studying the arts and humanities","Introductory","4"
"662","Open_edu","Succeed in the workplace","Introductory","24"
"663","Open_edu","Succeed with learning","Introductory","24"
"664","Open_edu","Succeed with maths – Part 2","Introductory","24"
"665","Open_edu","Succeeding in postgraduate study","Advanced","24"
"666","Open_edu","Summarising text","Introductory","1"
"667","Open_edu","Supporting and developing resilience in social work","Intermediate","10"
"668","Open_edu","Supporting children's development","Beginner","15"
"669","Open_edu","Supporting children's mental health and wellbeing","Introductory","24"
"670","Open_edu","Sure, I know how to talk to people!","Introductory","4"
"671","Open_edu","Take your teaching online","Intermediate","24"
"672","Open_edu","Taking your first steps into higher education","Introductory","24"
"673","Open_edu","Talk the talk","Introductory","12"
"674","Open_edu","Teachers sharing resources online","Intermediate","10"
"675","Open_edu","Teaching and learning tricky topics","Intermediate","24"
"676","Open_edu","Teaching assistants: support in action (Chinese)","Introductory","4"
"677","Open_edu","Teaching assistants: Support in action (Wales)","Beginner","4"
"678","Open_edu","Teaching citizenship: Work and the economy","Intermediate","10"
"679","Open_edu","Teaching mathematics","Intermediate","24"
"680","Open_edu","Teaching secondary geography","Advanced","11"
"681","Open_edu","Teaching secondary mathematics","Advanced","11"
"682","Open_edu","Teaching secondary modern foreign languages","Advanced","11"
"683","Open_edu","Teaching secondary music","Advanced","11"
"684","Open_edu","Teaching secondary science","Advanced","11"
"685","Open_edu","Teaching Spanish pronunciation","Introductory","15"
"686","Open_edu","Teamwork: an introduction for school governors (Wales)","Introductory","5"
"687","Open_edu","Textiles in Ghana","Introductory","4"
"688","Open_edu","The African diaspora: An archaeological perspective","Introductory","4"
"689","Open_edu","The Big Bang","Advanced","20"
"690","Open_edu","The body: A phenomenological psychological perspective","Advanced","15"
"691","Open_edu","The concept of innovation","Intermediate","3"
"692","Open_edu","The digital scholar","Intermediate","24"
"693","Open_edu","The evolving Universe","Introductory","12"
"694","Open_edu","The family at the centre of early learning","Introductory","9"
"695","Open_edu","The First World War: trauma and memory","Introductory","9"
"696","Open_edu","The frozen planet","Introductory","7"
"697","Open_edu","The importance of interpersonal skills","Introductory","3"
"698","Open_edu","The life sciences industry: An introduction","Advanced","6"
"699","Open_edu","The meaning of crime","Introductory","8"
"700","Open_edu","The politics of devolution","Intermediate","8"
"701","Open_edu","The power of infographics in research dissemination","Intermediate","7"
"702","Open_edu","The range of work with young people","Introductory","10"
"703","Open_edu","The restless Universe","Intermediate","12"
"704","Open_edu","The role of the manager","Introductory","4"
"705","Open_edu","The science behind wheeled sports","Introductory","8"
"706","Open_edu","The science of nutrition and healthy eating","Introductory","24"
"707","Open_edu","The Sun","Introductory","8"
"708","Open_edu","The value of coffee","Introductory","3"
"709","Open_edu","The world of the primary school","Introductory","8"
"710","Open_edu","Themes and theories for working in virtual project teams","Advanced","4"
"711","Open_edu","Theories in Technology Evaluation","Advanced","20"
"712","Open_edu","Three principles of a coaching approach","Introductory","2"
"713","Open_edu","Toys and engineering materials","Intermediate","10"
"714","Open_edu","Translation as a career","Advanced","4"
"715","Open_edu","Two concepts of freedom","Intermediate","20"
"716","Open_edu","Understanding antibiotic resistance","Introductory","24"
"717","Open_edu","Understanding cardiovascular diseases","Intermediate","15"
"718","Open_edu","Understanding children: Babies being heard","Introductory","5"
"719","Open_edu","Understanding dyslexia","Intermediate","20"
"720","Open_edu","Understanding economic inequality","Introductory","6"
"721","Open_edu","Understanding language and learning","Advanced","10"
"722","Open_edu","Understanding management: I'm managing thank you!","Introductory","5"
"723","Open_edu","Understanding organisational value","Introductory","7"
"724","Open_edu","Understanding society: Families","Introductory","5"
"725","Open_edu","Understanding your sector","Introductory","24"
"726","Open_edu","Using a scientific calculator","Introductory","10"
"727","Open_edu","Using film music in the classroom","Intermediate","8"
"728","Open_edu","Using numbers and handling data","Introductory","12"
"729","Open_edu","Using visualisation in maths teaching","Intermediate","6"
"730","Open_edu","Vaccination","Intermediate","14"
"731","Open_edu","Veiling","Intermediate","10"
"732","Open_edu","Visions of protest: Graffiti","Introductory","8"
"733","Open_edu","Volcanic hazards","Introductory","10"
"734","Open_edu","Water and human health","Introductory","9"
"735","Open_edu","What are waves?","Introductory","3"
"736","Open_edu","What chemical compounds might be present in drinking water?","Intermediate","6"
"737","Open_edu","What do genes do?","Introductory","2"
"738","Open_edu","What is a metal?","Introductory","3"
"739","Open_edu","What is heritage?","Introductory","10"
"740","Open_edu","What is poetry?","Introductory","12"
"741","Open_edu","Who counts as a refugee?","Advanced","10"
"742","Open_edu","Why study languages?","Introductory","5"
"743","Open_edu","Why teach art?","Introductory","6"
"744","Open_edu","Word and image","Intermediate","15"
"745","Open_edu","Working in diverse teams","Introductory","24"
"746","Open_edu","Working in groups and teams","Advanced","8"
"747","Open_edu","Working in the voluntary sector","Introductory","24"
"748","Open_edu","Working life and learning","Intermediate","25"
"749","Open_edu","Working with charts, graphs and tables","Introductory","15"
"750","Open_edu","Working with diversity in services for children and young people","Advanced","8"
"751","Open_edu","Working with young people: Roles and responsibilities","Introductory","12"
"752","Open_edu","Workplace learning with coaching and mentoring","Advanced","9"
"753","Open_edu","Writing what you know ","Introductory","8"
"754","Open_edu","You and your money","Introductory","12"
"755","Open_edu","Young lives: is now a good time to be young?","Intermediate","6"
"756","Open_edu","Youth justice in the UK: children, young people and crime","Introductory","24"
"757","Open_edu","A spiritual revolution? Wicca and religious change in the 1960s","Introductory","3"
"758","Open_edu","Aberdulais Falls: A case study in Welsh heritage","Introductory","2"
"759","Open_edu","An introduction to material culture","Introductory","2"
"760","Open_edu","An introduction to music research","Advanced","16"
"761","Open_edu","An introduction to music theory","Introductory","8"
"762","Open_edu","Approaching literature: Reading Great Expectations","Intermediate","15"
"763","Open_edu","Approaching plays","Intermediate","15"
"764","Open_edu","Approaching poetry","Intermediate","20"
"765","Open_edu","Approaching prose fiction","Intermediate","20"
"766","Open_edu","Art and life in ancient Egypt","Introductory","30"
"767","Open_edu","Art and the Mexican Revolution","Intermediate","7"
"768","Open_edu","Art and visual culture: Medieval to modern","Intermediate","10"
"769","Open_edu","Art in Renaissance Venice","Advanced","6"
"770","Open_edu","Artists and authorship: the case of Raphael","Advanced","10"
"771","Open_edu","Brighton Pavilion","Intermediate","16"
"772","Open_edu","Census stories: Bringing statistics to life in Milton Keynes","Introductory","2"
"773","Open_edu","Christopher Marlowe, Doctor Faustus","Intermediate","15"
"774","Open_edu","Commemoration: Visual texts","Introductory","4"
"775","Open_edu","Composition and improvisation in cross-cultural perspective","Advanced","20"
"776","Open_edu","Continuing classical Latin","Intermediate","4"
"777","Open_edu","Creative writing and critical reading","Advanced","8"
"778","Open_edu","David Hume","Intermediate","16"
"779","Open_edu","Delacroix","Introductory","16"
"780","Open_edu","Digital Humanities: Humanities research in the digital age","Advanced","10"
"781","Open_edu","Discovering Ancient Greek and Latin","Intermediate","12"
"782","Open_edu","Discovering music through listening","Introductory","9"
"783","Open_edu","Discovering music: the blues","Introductory","6"
"784","Open_edu","Dundee, jute and empire","Introductory","12"
"785","Open_edu","Dutch painting of the Golden Age","Intermediate","4"
"786","Open_edu","Early modern Europe: an introduction","Intermediate","10"
"787","Open_edu","Emotion: An introductory picture","Advanced","20"
"788","Open_edu","Exploring a Romano-African city: Thugga","Advanced","14"
"789","Open_edu","Exploring books for children: words and pictures","Intermediate","8"
"790","Open_edu","Exploring philosophy: faking nature","Advanced","9"
"791","Open_edu","Exploring the English language","Intermediate","9"
"792","Open_edu","Exploring Thomas Hardy's Far From the Madding Crowd","Intermediate","6"
"793","Open_edu","Exploring Virginia Woolf’s Between the Acts","Intermediate","6"
"794","Open_edu","Form and uses of language","Introductory","4"
"795","Open_edu","Forth Road Bridge","Introductory","1"
"796","Open_edu","French Revolution","Intermediate","16"
"797","Open_edu","Getting started on classical Latin","Introductory","10"
"798","Open_edu","Goya","Intermediate","5"
"799","Open_edu","Hadrian's Rome","Advanced","10"
"800","Open_edu","Health and wellbeing in the ancient world","Introductory","18"
"801","Open_edu","Health, disease and society: Scottish influence in the 19th century","Intermediate","10"
"802","Open_edu","Helen Langdon's ‘Caravaggio’","Advanced","20"
"803","Open_edu","Heritage case studies: Scotland","Introductory","5"
"804","Open_edu","History of reading tutorial 1: Finding evidence of reading in the past","Intermediate","2"
"805","Open_edu","History of reading tutorial 2: The reading and reception of literary texts – a case study of Robinson Crusoe","Intermediate","1"
"806","Open_edu","History of reading tutorial 3: Famous writers and their reading - Elizabeth Barrett Browning and Vernon Lee","Intermediate","1"
"807","Open_edu","History of reading: An introduction to reading in the past","Intermediate","1"
"808","Open_edu","How do empires work?","Introductory","1"
"809","Open_edu","Icarus: entering the world of myth","Intermediate","3"
"810","Open_edu","Imagination: The missing mystery of philosophy","Advanced","20"
"811","Open_edu","Introducing consciousness","Advanced","20"
"812","Open_edu","Introducing Homer's Iliad","Intermediate","6"
"813","Open_edu","Introducing philosophy","Introductory","8"
"814","Open_edu","Introducing the Classical world","Intermediate","20"
"815","Open_edu","Introducing the philosophy of religion","Intermediate","12"
"816","Open_edu","Introducing Virgil’s Aeneid","Intermediate","7"
"817","Open_edu","Introduction to law in Wales","Intermediate","8"
"818","Open_edu","Janis Joplin and the Sexual Revolution","Introductory","3"
"819","Open_edu","John Webster, The Duchess of Malfi","Intermediate","12"
"820","Open_edu","Language and thought: Introducing representation","Advanced","20"
"821","Open_edu","Language in the real world","Advanced","6"
"822","Open_edu","Late nineteenth-century Britain and America: The people and the empire","Advanced","4"
"823","Open_edu","Library of Alexandria","Advanced","7"
"824","Open_edu","Listening for form in popular music","Intermediate","10"
